,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts
1121,,,,,,,10.0,,,,,,,,169.0,,,,,,,27.0,,,,19.0,,,,,,,,,,,,,,,,,18.0,,,13.0,,25.0,,,,48.0,39.0,,,159.0,,,,,,,,58.0,,35.0,,,,17.0,40.0,,,,,,,,,,88.0,,10.0,,,,178.0,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,39.0,,,,,,,99.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,2.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,
1123,,,,,,,,,66.0,,,,,52.0,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,8.0,26.0,38.0,,,,,,,,48.0,,,,,,,,,,55.0,,,,,89.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,
1126,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,30.0,,,30.0,,,,,,,,,,,,,,,,,48.0,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,175.0,25.0,,,,,,,,,,45.0,,8.0,,,,,158.0,19.0,35.0,,58.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,8.0,,,,,,,,,,,,,,,
1129,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,48.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,35.0,,,,,,,,,35.0,,,,,,,,10.0,,,,,,,,,,,,,,,,175.0,25.0,,,,,109.0,,,,,45.0,,8.0,,38.0,,,158.0,19.0,,,58.0,,,,69.0,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,
1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,35.0,,,,,,20.0,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,38.0,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1139,,,,,,,,,,,35.0,,35.0,,,35.0,,,,,,27.0,20.0,,,,10.0,,7.0,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,35.0,35.0,,,,,,,6.0,,,,55.0,,,,,,,,,,,,,,,9.0,,,,,,,9.0,,26.0,,,,,,,,,48.0,,,,,,,,7.0,28.0,55.0,,,,,,,,,99.0,,16.0,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,,
1146,,,,,159.0,,,,,,35.0,29.0,35.0,52.0,,,,,,,,27.0,20.0,,,,,,,,,,,,,,88.0,,,13.0,,,,,,,,,,,,48.0,,,65.0,159.0,,,,15.0,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,8.0,26.0,,,,,,,35.0,,,,,,,,,,,,,,,28.0,,,,,,,,,,33.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,8.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0
1148,,,,,,128.0,,,,,,,35.0,,,,,29.0,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,78.0,,,,,,,,56.0,,,,,,,32.0,35.0,,,25.0,,,10.0,,,,,,,33.0,,,,,29.0,,,48.0,175.0,,,,,,,,48.0,,,,,,,,,,158.0,,,,58.0,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,30.0,,,,,,,,,,,18.0,,,,,,,,19.0,,,65.0,,,,,,,,,,,,,,,,,,20.0,,,,32.0,,,,,,,10.0,,,,,,,,20.0,,,,,,39.0,,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,56.0,89.0,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,1.0,,,,
1157,,,,,,,,,,,,,,,,,,,,,35.0,,,29.0,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,65.0,159.0,,,,,,,29.0,,,,,,56.0,,,,,,,,,,,,88.0,,10.0,,,,,,,,,,,,,,,,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,
1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
1162,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,58.0,,,,,,,,,,,,,,,,,,35.0,10.0,,,,,,,,,,,8.0,29.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,39.0,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,
1169,,,,,,,,,,,,,35.0,52.0,,,,,,,,,,,55.0,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,,,,,,,,,,,,,35.0,,,,,,,,,,20.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,15.0,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,175.0,,,,,,,,,,,,,8.0,26.0,,,,,,,35.0,,,,,,,,,,,,55.0,,,,,,,,,,,,,33.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,5.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0
1174,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1177,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,,,,,,,,,,,,,,,,,,29.0,,,,27.0,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,55.0,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,55.0,,,,56.0,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,
1186,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,10.0,,,,13.0,,35.0,,,,,,,13.0,,,,,,,,,32.0,,,,,,,,,,30.0,15.0,,,,58.0,,,,,,,,,,,,32.0,35.0,,,,,,,,,,,,,,,,,,,19.0,,,,,,18.0,,,,,,,13.0,,,,,,39.0,,,,,,,,,,,,,35.0,,7.0,,,,,,,89.0,18.0,,,99.0,,,35.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,8.0,,,,,,,1.0,1.0,,,1.0,,,1.0,
1193,,5.0,,,,,,,,,35.0,,,,,,6.0,,,,,,,,,,10.0,,,,,,,,30.0,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,35.0,,,,,,16.0,55.0,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,88.0,35.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
1203,,,80.0,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,45.0,88.0,,,,,,,,,,,,,58.0,,,,,65.0,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,10.0,1.0,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,8.0,26.0,,,,,,,,,,,33.0,,,,,,,,55.0,,,,,89.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,
1208,,,,,,,,,,7.0,,,,,,35.0,6.0,,,,,,20.0,,,,,,,,,,,,,,,15.0,,,,,,32.0,,,,25.0,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,55.0,,,,,89.0,,,,99.0,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,
1211,,,,,,,,,,,,,35.0,,,,,,,,,27.0,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,35.0,,,56.0,,,,,45.0,,32.0,,,,,,,10.0,,,,,,55.0,,,,,,29.0,,,,175.0,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
1224,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,45.0,,,,,,,,32.0,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,10.0,,,,,16.0,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,30.0,,,,,,55.0,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,
1227,,5.0,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
1251,,,,,,,,,,,,,,,,,,,,,,,20.0,29.0,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,1.0,,,,,,33.0,,,,,,,,,,,37.0,,,,,,,,,,,8.0,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1258,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,35.0,,,,,,,,,,,,,,,88.0,,10.0,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,,,,,,,,,,7.0,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,16.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,
1264,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,45.0,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,45.0,,,,,,,,,10.0,,,,,,,,,,,,,,,,175.0,,,,,9.0,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
1266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,29.0,,,35.0,,,,,,,,45.0,,32.0,35.0,35.0,,,88.0,,10.0,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,58.0,,,,,,,,,,,,,39.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
1267,,,,,,,,,,,,,35.0,,,,,,,,,,,29.0,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1268,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,45.0,,,,,,,,32.0,,13.0,,,,,,48.0,,,65.0,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,10.0,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,55.0,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,99.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,
1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
